EVENT_NUMBER,CLUSTER,START_DATE,END_DATE,NUM_CLAIMS,ASSOCIATED_SIDS,ASSOCIATED_NAMES,CONCURRENT
1,1797,2000-10-02,2000-10-07,9769,2000279N29279,LESLIE,0
2,2241,2001-09-12,2001-09-18,2708,2001255N26276,GABRIELLE,0
3,1984,2002-09-23,2002-09-30,2422,"2002258N10300,2002265N10315","ISIDORE,LILI",1
4,3907,2003-09-13,2003-09-27,5426,2003249N14329,ISABEL,0
5,4524,2004-08-12,2004-08-17,2795,"2004217N13306,2004223N11301","BONNIE,CHARLEY",1
6,4785,2004-09-02,2004-09-13,5011,"2004238N11325,2004247N10332","FRANCES,IVAN",1
7,4784,2004-09-11,2004-09-21,17686,"2004238N11325,2004247N10332","FRANCES,IVAN",1
8,4748,2004-09-23,2004-10-04,4204,"2004247N10332,2004258N16300","IVAN,JEANNE",1
9,3848,2005-07-05,2005-07-15,4374,"2005185N18273,2005186N12299","CINDY,DENNIS",1
10,3507,2005-08-22,2005-08-31,5358,2005236N23285,KATRINA,0
11,3564,2005-08-24,2005-09-02,22801,2005236N23285,KATRINA,0
12,2645,2005-09-12,2005-09-20,915,2005249N26281,OPHELIA,0
13,2395,2005-10-18,2005-10-30,9861,2005289N18282,WILMA,0
14,2245,2006-08-28,2006-09-05,648,2006237N13298,ERNESTO,0
15,3348,2008-08-18,2008-09-02,2456,"2008229N18293,2008241N19303","FAY,HANNA",1
16,3429,2008-08-29,2008-09-06,801,"2008229N18293,2008238N13293","FAY,GUSTAV",1
17,5284,2011-08-23,2011-09-03,8422,2011233N15301,IRENE,0
18,1993,2012-06-21,2012-07-08,2053,2012176N26272,DEBBY,0
19,2330,2012-08-23,2012-09-01,672,2012234N16315,ISAAC,0
20,2464,2012-08-24,2012-09-07,1785,2012234N16315,ISAAC,0
21,632,2012-10-25,2012-11-08,651,2012296N14283,SANDY,0
22,4127,2016-08-30,2016-09-07,2171,2016242N24279,HERMINE,0
23,4145,2016-10-03,2016-10-18,16646,2016273N13300,MATTHEW,0
24,3353,2017-08-23,2017-08-30,594,2017240N31279,UNNAMED,0
25,3642,2017-09-02,2017-09-23,24889,2017242N16333,IRMA,0
26,5101,2018-09-06,2018-09-29,15363,2018242N13343,FLORENCE,0
27,4915,2018-10-07,2018-10-15,3353,2018280N18273,MICHAEL,0
28,4914,2018-10-08,2018-10-16,586,2018280N18273,MICHAEL,0
29,3418,2019-09-03,2019-09-10,1272,2019236N10314,DORIAN,0
30,4265,2020-08-02,2020-08-09,1203,2020211N13306,ISAIAS,0
31,3515,2020-09-10,2020-09-23,6937,"2020256N25281,2020261N21265","BETA,SALLY",1
32,2375,2020-10-25,2020-10-30,965,2020299N18277,ZETA,0
33,2223,2020-11-06,2020-11-14,2774,2020306N15288,ETA,0
34,1460,2022-09-25,2022-10-08,39556,2022266N12294,IAN,0
35,1461,2022-09-28,2022-10-02,1169,2022266N12294,IAN,0
36,748,2022-11-07,2022-11-14,1341,2022311N21293,NICOLE,0
37,2469,2023-08-27,2023-09-02,5045,2023239N21274,IDALIA,0
38,2226,2024-08-02,2024-08-17,1920,2024216N20284,DEBBY,0
39,1521,2024-09-14,2024-09-20,688,2024259N31284,UNNAMED,0
40,1645,2024-09-23,2024-10-02,51589,2024268N17278,HELENE,0
41,1646,2024-10-03,2024-10-24,16970,2024279N21265,MILTON,0
